issuekey,delaydays,openeddate,type,discussion,repetition,perofdelay,workload,priority,no_comment,no_priority_change,no_fixversion,no_fixversion_change,no_issuelink,no_blocking,no_blockedby,no_affectversion,reporterrep,no_des_change,ProgressTime,RemainingDay,topic_10,topic_100,topic_200,topic_300,topic_400
JBBUILD-168,215,"2005-10-18 00:00:00",Task,0,0,0,0,Major,0,0,0,0,0,0,0,0,0.6666666666666666,0,0,74,3,100,183,250,256
JBNET-287,174,"2005-10-20 00:00:00",Task,0,0,0,0,Major,0,0,0,0,0,0,0,0,0.6571428571428571,0,0,15,9,85,194,297,337
JBNET-288,174,"2005-10-20 00:00:00",SubTask,0,0,0,0,Major,0,0,0,0,0,0,0,0,0.6571428571428571,0,0,15,9,85,141,268,19
JBNET-289,174,"2005-10-20 00:00:00",SubTask,0,0,0,0,Major,0,0,0,0,0,0,0,0,0.6571428571428571,0,0,15,9,85,121,215,213
JBNET-290,174,"2005-10-20 00:00:00",SubTask,0,0,0,0,Major,0,0,0,0,0,0,0,0,0.6571428571428571,0,0,15,10,85,151,156,19
JBNET-292,167,"2005-10-20 00:00:00",Task,0,0,0,0,Major,0,0,0,0,0,0,0,0,0.6571428571428571,0,0,22,10,95,164,217,360
JBNET-293,167,"2005-10-20 00:00:00",Task,0,0,0,0,Major,0,0,0,0,0,0,0,0,0.6571428571428571,0,0,22,8,79,194,120,387
JBNET-294,160,"2005-10-20 00:00:00",Task,0,0,0,0,Major,0,0,0,0,0,0,0,0,0.6571428571428571,0,0,29,5,73,164,173,383
JBWS-481,1,"2005-10-31 00:00:00",Bug,0,0,0,0,Major,0,0,1,0,0,0,0,0,0.4166666666666667,0,0,0,8,78,103,11,112
JBNET-308,155,"2005-11-04 00:00:00",SubTask,0,0,0,0,Major,0,0,0,0,0,0,0,0,0,0,0,19,8,33,194,136,209
JBNET-309,148,"2005-11-04 00:00:00",Task,0,0,0,0,Major,0,0,0,0,0,0,0,0,0,0,0,26,4,99,71,209,380
MTAJZR-8,108,"2005-11-09 00:00:00",Task,0,0,0,0,Minor,0,0,0,0,0,0,0,1,0,0,0,2,4,75,170,1,382
