idissuelink,issuekey,linkedIssueKey,name
585,DATAMONGO-929,DATAMONGO-899,relates to
586,DATAMONGO-937,DATAMONGO-850,is depended on by
587,DATAMONGO-937,DATAMONGO-973,is depended on by
588,DATAMONGO-941,DATAMONGO-942,is depended on by
589,DATAMONGO-942,DATAMONGO-941,depends on
590,DATAMONGO-953,DATAMONGO-1002,relates to
591,DATAMONGO-954,DATAMONGO-931,is depended on by
592,DATAMONGO-958,DATACMNS-523,depends on
593,DATAMONGO-968,DATAMONGO-850,is related to
594,DATAMONGO-972,DATAMONGO-984,is related to
595,DATAMONGO-973,DATAMONGO-850,depends on
596,DATAMONGO-973,DATAMONGO-937,depends on
597,DATAMONGO-974,DATAMONGO-975,depends on
598,DATAMONGO-975,DATAMONGO-974,is depended on by
599,DATAMONGO-976,DATAMONGO-850,depends on
600,DATAMONGO-980,DATACMNS-534,depends on
601,DATAMONGO-990,DATAJPA-564,is related to
602,DATAMONGO-991,DATACMNS-469,is related to
603,DATAMONGO-992,DATACMNS-547,depends on
604,DATAMONGO-992,DATAMONGO-1115,relates to
605,DATAMONGO-998,DATAMONGO-1005,is related to
606,DATAREDIS-170,DATAREDIS-242,is related to
607,DATAREDIS-242,DATAREDIS-170,relates to
608,DATAREDIS-242,INT-2946,relates to
609,DATAREDIS-243,DATAREDIS-239,is duplicated by
610,DATAREDIS-246,DATAREDIS-283,is related to
611,DATAREDIS-248,DATAREDIS-240,is duplicated by
612,DATAREDIS-256,DATAREDIS-262,is superseded by
613,DATAREDIS-257,INT-3275,relates to
614,DATAREDIS-262,DATAREDIS-256,supersedes
615,DATAREDIS-285,INT-2918,is depended on by
616,DATAREDIS-295,DATAREDIS-327,relates to
617,DATAREDIS-295,DATAREDIS-325,is related to
618,DATAREDIS-297,DATAREDIS-307,relates to
