issuekey,delaydays,openeddate,type,discussion,repetition,perofdelay,workload,priority,no_comment,no_priority_change,no_fixversion,no_fixversion_change,no_issuelink,no_blocking,no_blockedby,no_affectversion,reporterrep,no_des_change,ProgressTime,RemainingDay,topic_10,topic_100,topic_200,topic_300,topic_400
FCREPO-594,204,"2009-05-17 00:00:00",Bug,0,1,19,6,Major,0,0,1,0,0,0,0,3,0,0,0,1,1,96,187,273,388
FCREPO-593,211,"2009-05-17 00:00:00",Bug,0,1,66,3,Blocker,0,0,1,0,0,0,0,1,0.25,0,0,1,2,30,179,280,6
FCREPO-591,208,"2009-05-17 00:00:00",Bug,0,1,0,0,Minor,0,0,1,0,1,0,0,1,0.3333333333333333,0,0,1,1,14,165,129,381
FCREPO-590,197,"2009-05-17 00:00:00",Bug,0,1,19,6,Minor,0,0,1,0,0,0,0,4,0.3944954128440367,0,0,1,10,90,151,135,341
FCREPO-588,196,"2009-05-17 00:00:00",Bug,0,1,0,0,Major,0,0,1,0,0,0,0,2,0.75,0,0,1,10,67,97,267,336
FCREPO-584,188,"2009-05-17 00:00:00",Story,0,1,19,6,Minor,0,0,1,0,0,0,0,0,0.4,0,0,1,9,98,168,238,350
FCREPO-583,186,"2009-05-17 00:00:00",Bug,0,1,19,6,Major,0,0,1,0,1,1,0,1,0.3942307692307692,0,0,1,2,61,183,208,175
FCREPO-582,189,"2009-05-17 00:00:00",Story,0,1,19,6,Trivial,0,0,1,0,0,0,0,0,0.3883495145631068,0,0,1,10,33,84,89,109
FCREPO-581,184,"2009-05-17 00:00:00",Bug,0,1,19,6,Minor,0,0,1,0,1,0,0,4,0.38235294117647056,0,0,1,6,19,193,55,134
FCREPO-580,199,"2009-05-17 00:00:00",Story,0,1,18,4,Minor,0,0,1,0,1,0,0,0,0.8333333333333334,0,0,1,2,93,171,233,341
FCREPO-575,214,"2009-05-17 00:00:00",Story,0,1,18,4,Minor,0,0,1,0,0,0,0,0,0.8809523809523809,0,0,1,1,89,171,222,89
FCREPO-574,214,"2009-05-17 00:00:00",Story,0,1,18,4,Minor,0,0,1,0,0,0,0,0,0.8809523809523809,0,0,1,9,88,194,283,184
FCREPO-573,208,"2009-05-17 00:00:00",Story,0,1,18,4,Minor,0,0,1,0,1,0,0,0,0.8809523809523809,0,0,1,3,56,19,62,216
FCREPO-570,183,"2009-05-17 00:00:00",Story,0,1,50,2,Major,0,0,1,0,0,0,0,0,0.6666666666666666,0,0,1,8,29,152,125,169
FCREPO-569,170,"2009-05-17 00:00:00",Bug,0,1,50,2,Minor,0,0,1,0,0,0,0,2,0.6,0,0,1,9,99,147,264,390
FCREPO-567,197,"2009-05-17 00:00:00",Story,0,1,14,5,Blocker,0,0,1,0,0,0,0,0,0.39,0,0,1,3,92,168,285,386
FCREPO-558,185,"2009-05-17 00:00:00","Technical task",0,1,14,5,Major,0,0,1,0,0,0,0,0,0.3333333333333333,0,0,1,8,61,133,192,265
FCREPO-556,187,"2009-05-17 00:00:00","Technical task",0,1,19,6,Blocker,0,0,1,0,0,0,0,0,0.3333333333333333,0,0,1,8,61,88,20,175
FCREPO-550,197,"2009-05-17 00:00:00",Story,0,1,18,4,Minor,0,0,1,0,0,0,0,0,0.3958333333333333,0,0,1,9,98,105,110,17
FCREPO-549,167,"2009-05-17 00:00:00",Bug,0,1,50,2,Major,0,0,1,0,0,0,0,2,0.6666666666666666,0,0,1,7,70,66,125,337
FCREPO-543,214,"2009-05-17 00:00:00",Story,0,1,0,0,Major,0,0,1,0,7,1,4,0,0.4,0,0,1,9,61,133,20,351
FCREPO-542,169,"2009-05-17 00:00:00",Bug,0,1,18,4,Minor,0,0,1,0,1,1,0,2,0.875,0,0,1,10,88,157,262,392
