boardid,sprintid,name,vel_diff,planday,no_issue_starttime,vel_starttime,no_issue_added,vel_added,no_issue_removed,vel_removed,no_issuetodo,vel_todo,no_issueinprogress,vel_inprogress,no_issuedone,vel_done,no_admin,no_teammember
750,2490,Scripting Sprint,-6,8,14,28,0,0,1,2,12,24,0,0,1,2,1,3
920,2200,Sprint 1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1
950,1851,Sprint to Beta1 CF,2,31,0,0,1,1,0,0,1,1,0,0,0,0,1,3
950,1920,Sprint to Beta2 Release,2,14,2,2,5,40,5,40,2,2,0,0,0,0,1,17
950,1960,Sprint 20141112,-37,16,2,37,0,0,0,0,2,37,0,0,0,0,1,3
950,2130,Sprint to Beta3 Release,1,40,4,39,6,25,3,38,7,26,0,0,0,0,1,4
950,2240,Sprint to CR1 Release,-34,49,2,37,2,2,0,0,3,38,0,0,1,1,1,9
950,2610,Sprint #1 April 2015,-37,16,3,38,0,0,0,0,3,38,0,0,0,0,1,2
950,2922,Sprint #2 April 2015,-3,11,4,6,2,2,0,0,2,4,1,1,3,3,1,15
950,3002,Sprint #3 May 2015,-4,11,3,15,0,0,1,1,2,14,0,0,0,0,1,7
950,3022,Sprint #4 May 2015,-9,17,1,13,2,2,0,0,2,14,0,0,1,1,1,5
950,3172,Sprint #5 Jun 2015,1,18,0,0,1,1,0,0,0,0,0,0,1,1,1,3
950,3182,Sprint #6 July 2015,3,18,0,0,1,5,1,5,0,0,0,0,0,0,1,4
980,2270,Sprint_July7-11,2014,2,4,1,2,8,16,1,2,3,6,0,0,5,10,1,2
1000,2310,Sprint 1,0,14,2,2,1,1,2,2,1,1,0,0,0,0,1,1
1000,2350,Sprint 2,0,21,9,9,2,2,11,11,0,0,0,0,0,0,1,4
1010,2360,2014/S15 (18-Aug > 31-Aug),-4,13,0,0,2,4,0,0,0,0,2,4,0,0,1,2
1010,2370,2014/S16 (1-Sep > 14-Sep),-2,6,4,8,0,0,0,0,4,8,0,0,0,0,1,2
1010,2470,2014/S17 (15-Sep > 28-Sep),-8,12,4,8,0,0,0,0,3,6,0,0,1,2,1,1
1010,2520,2014/S18 (29-Sep > 12-Oct),-2,14,6,12,0,0,1,2,1,2,1,2,3,6,1,1
1010,2550,2014/S19 (13-Oct > 26-Oct),0,13,2,4,0,0,2,4,0,0,0,0,0,0,1,1
1010,2560,2014/S20 (27-Oct > 9-Nov),0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1030,970,Sprint 77,-18,14,26,52,12,24,3,6,13,26,5,10,17,34,1,5
1030,1051,Sprint 78,-18,7,10,20,2,4,3,6,7,14,2,4,0,0,1,4
1030,1081,Sprint 79,-14,7,9,18,0,0,2,4,5,10,2,4,0,0,1,4
1030,1171,Sprint 81,-4,7,4,8,0,0,1,2,2,4,0,0,1,2,1,3
1030,1191,Sprint 83,-2,7,3,6,0,0,1,2,2,4,0,0,0,0,1,6
1030,1341,Sprint 84,-4,14,3,6,0,0,1,2,2,4,0,0,0,0,1,2
1030,1381,Sprint 85,0,7,5,10,2,4,0,0,3,6,1,2,3,6,1,5
1030,1391,Sprint 87,0,7,3,6,7,14,8,16,2,4,0,0,0,0,1,3
1030,1551,Sprint 88,0,6,4,8,4,8,0,0,0,0,6,12,2,4,1,3
1030,1561,Sprint 89,-2,7,9,18,0,0,3,6,1,2,4,8,1,2,1,4
1030,1571,Sprint 90,-6,14,3,6,7,14,1,2,3,6,2,4,4,8,1,4
1030,1601,Sprint 92,-2,7,2,4,0,0,1,2,1,2,0,0,0,0,1,2
1030,1631,Sprint 93,-2,8,2,4,0,0,0,0,1,2,1,2,0,0,1,3
1030,1841,Sprint 94,2,14,1,2,2,4,0,0,2,4,0,0,1,2,1,3
